Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
GaussianNB,0.9943181818181818,0.9943181818181818,0.9999661796536795,0.9942959001782531,0.9949494949494949,0.9943181818181818,0.026249408721923828
QuadraticDiscriminantAnalysis,0.9943181818181818,0.9943181818181818,0.9999492694805195,0.9942959001782531,0.9949494949494949,0.9943181818181818,0.023723602294921875
RandomForestClassifier,0.9943181818181818,0.9943181818181818,0.9999788622835498,0.9943181818181818,0.9943181818181818,0.9943181818181818,0.24854016304016113
BaggingClassifier,0.9914772727272727,0.9914772727272727,0.9998774012445888,0.9914522140501095,0.9922756981580512,0.9914772727272727,0.09176135063171387
XGBClassifier,0.9914772727272727,0.9914772727272727,0.9999577245670995,0.9914689416155692,0.9916221033868093,0.9914772727272727,0.5269274711608887
LGBMClassifier,0.9886363636363636,0.9886363636363636,0.9999323593073594,0.9885918003565063,0.9891774891774893,0.9886363636363636,3.302520513534546
ExtraTreesClassifier,0.9886363636363636,0.9886363636363636,0.9999239042207791,0.9884297520661157,0.9887318563789151,0.9886363636363636,0.29224538803100586
DecisionTreeClassifier,0.9772727272727273,0.9772727272727273,0.988095238095238,0.9770838887407802,0.9772281639928699,0.9772727272727273,0.05504179000854492
LogisticRegression,0.96875,0.96875,0.999230587121212,0.9686948839786514,0.9699643493761141,0.96875,0.10159540176391602
SVC,0.9659090909090909,0.9659090909090909,,0.9658427518269188,0.9671902852049912,0.9659090909090909,0.06998467445373535
LabelPropagation,0.9630681818181818,0.9630681818181818,0.9993996888528138,0.9626774847870184,0.9639674051438757,0.9630681818181818,0.09973907470703125
LabelSpreading,0.9602272727272727,0.9602272727272727,0.9992897727272727,0.9598804528844146,0.9609180035650624,0.9602272727272727,0.17617321014404297
KNeighborsClassifier,0.9602272727272727,0.9602272727272727,0.9967912946428572,0.9603135044409292,0.9641353550989773,0.9602272727272727,0.030525922775268555
LinearSVC,0.9573863636363636,0.9573863636363636,,0.9572585875125313,0.9618061765600129,0.9573863636363636,0.03450512886047363
LinearDiscriminantAnalysis,0.9573863636363636,0.9573863636363636,0.9991798566017317,0.9570296622475811,0.9620818809673299,0.9573863636363636,0.03656792640686035
CalibratedClassifierCV,0.9545454545454546,0.9545454545454546,0.9981567911255411,0.9527614513286451,0.966140477169889,0.9545454545454546,0.6185770034790039
NuSVC,0.9403409090909091,0.9403409090909091,,0.9396721774104472,0.9472281137335318,0.9403409090909091,0.14304471015930176
ExtraTreeClassifier,0.9176136363636364,0.9176136363636364,0.956845238095238,0.9173570974567551,0.9213548298107122,0.9176136363636364,0.02745342254638672
SGDClassifier,0.8863636363636364,0.8863636363636364,,0.8984864072777888,0.9323224007047538,0.8863636363636364,0.03204178810119629
NearestCentroid,0.8380681818181818,0.8380681818181818,0.9991714015151515,0.831591490588196,0.8527767077654498,0.8380681818181818,0.04921293258666992
PassiveAggressiveClassifier,0.8323863636363636,0.8323863636363636,,0.8269198936518921,0.8582857494164842,0.8323863636363636,0.02985382080078125
Perceptron,0.8267045454545454,0.8267045454545454,,0.8076761079146734,0.8664122250414615,0.8267045454545454,0.024737119674682617
BernoulliNB,0.7443181818181818,0.7443181818181818,0.9846286525974026,0.7236909170606025,0.7414653626699784,0.7443181818181818,0.0377049446105957
RidgeClassifierCV,0.7244318181818182,0.7244318181818182,,0.6639825367004124,0.7314259993444149,0.7244318181818182,0.015185356140136719
RidgeClassifier,0.7244318181818182,0.7244318181818182,,0.6639825367004124,0.7314259993444149,0.7244318181818182,0.028412580490112305
AdaBoostClassifier,0.36079545454545453,0.36079545454545453,0.9123968479437228,0.2480257116620753,0.21555310312529247,0.36079545454545453,0.23496270179748535
DummyClassifier,0.045454545454545456,0.045454545454545456,0.5,0.003952569169960474,0.002066115702479339,0.045454545454545456,0.027791738510131836
